team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
savapain,68:0,45:12,42:12,62:24,55:4,59:12,76:12,70:12,40:8,75:0,46:12,34:4,46:12,51:4,57:24,73:0,125:0,62:16,40:12,,,,,,,,,,,,,,,,,,,
Johnny Walker,41:0,55:24,52:24,78:24,36:0,56:4,82:28,69:20,41:20,60:20,58:20,40:8,57:16,75:8,62:16,74:8,75:24,53:0,44:20,,,,,,,,,,,,,,,,,,,
Morningstar FC,51:0,64:0,29:0,71:0,32:0,56:0,65:4,71:0,68:8,67:0,64:0,59:4,43:4,59:0,34:0,74:0,70:0,56:0,43:4,,,,,,,,,,,,,,,,,,,
PhiHungDentist,43:0,43:20,37:28,52:0,30:20,21:0,58:4,83:28,40:0,97:12,56:4,42:8,32:12,92:16,43:0,65:8,78:28,61:16,39:12,,,,,,,,,,,,,,,,,,,
Galaticos FC,47:0,43:8,56:12,69:8,51:8,71:0,73:0,65:0,36:0,87:8,35:0,49:4,61:0,66:0,48:4,68:12,68:8,75:8,38:12,,,,,,,,,,,,,,,,,,,
nani29,47:0,57:0,52:24,75:0,19:44,59:44,76:8,50:0,55:28,60:0,30:28,31:0,48:28,78:12,52:0,69:4,85:24,43:0,32:16,,,,,,,,,,,,,,,,,,,
Namdzai,50:0,70:0,54:0,53:0,31:0,21:0,59:0,60:0,21:0,88:0,43:0,53:0,56:0,84:0,47:0,77:0,67:0,51:4,41:0,,,,,,,,,,,,,,,,,,,
dautamhanhxxxlll,42:0,29:28,54:28,40:32,33:32,36:32,65:36,69:0,62:4,49:8,50:32,26:72,56:44,52:4,63:0,58:0,60:16,46:0,48:24,,,,,,,,,,,,,,,,,,,
